HGNC approved symbol	HGNC approved name	UniProt ID (human)	Pfam domains	UniProt ID (mouse)	Function	Modification	Protein complex	Target entity	Product
AEBP2	AE binding protein 2	AEBP2_HUMAN		AEBP2_MOUSE	Histone modification write cofactor	Histone methylation	PRC2	#	#
AICDA	activation-induced cytidine deaminase	AICDA_HUMAN	APOBEC_N PF08210 9-177	AICDA_MOUSE	DNA modification	DNA demethylation	APOB_mRNA_editosome	ssDNA, hmC	hmU
AIRE	autoimmune regulator	AIRE_HUMAN	HSR PF03172 5-102, SAND PF01342 200-239, PHD PF00628 299-340	AIRE_MOUSE	Histone modification read, TF	#	#	H3K4, H3K4me3, DNA motif	#
ALKBH1	alkB, alkylation repair homolog 1 (E. coli)	ALKB1_HUMAN	2OG-FeII_Oxy_2 PF13532 110-345	ALKB1_MOUSE	Histone modification	#	#	H2A	#
ALKBH1	Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-)	ALKB1_HUMAN	2OG-FeII_Oxy_2 PF13532 110-345	ALKB1_MOUSE	RNA modification, DNA modification	DNA demethylation, RNA demethylation	#	m3C, m1A of mRNA	C, A
ALKBH4	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4 (Alkylated DNA repair protein alkB homolog 4) (DNA N6-methyl adenine demethylase ALKBH4) (EC 1.14.11.51) (Lysine-specific demethylase ALKBH4) (EC 1.14.11.-)	ALKB4_HUMAN		ALKB4_MOUSE	DNA modification	DNA demethylation	#	m6A of DNA	A
ALKBH5	alkB homolog 5, RNA demethylase	ALKB5_HUMAN	2OG-FeII_Oxy_2 PF13532 117-275	ALKB5_MOUSE	RNA modification	RNA demethylation	#	m6A of mRNA	A
ANKRD32	ankyrin repeat domain 32	ANR32_HUMAN	RTT107_BRCT_5 PF16770 9-90, Ank_2 PF12796 811-900	ANR32_MOUSE	Histone modification read	#	#	H2AXS139	#
ANP32A	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	AN32A_HUMAN	LRR_9 PF14580 52-146	AN32A_MOUSE	Chromatin remodeling cofactor	#	#	#	#
ANP32B	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	AN32B_HUMAN	LRR_9 PF14580 21-149	AN32B_MOUSE	Histone chaperone	#	#	H3, H4	#
ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	AN32E_HUMAN	LRR_9 PF14580 35-146	AN32E_MOUSE	Histone chaperone, Histone modification read	#	SWR	H2A.Z	#
APBB1	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)	APBB1_HUMAN	WW PF00397 256-283, PID PF00640 370-507 542-664	APBB1_MOUSE	Histone modification	#	#	H2AX	#
APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	APEX1_HUMAN	Exo_endo_phos PF03372 65-309	APEX1_MOUSE	DNA modification cofactor	DNA demethylation	#	#	#
APOBEC1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1	ABEC1_HUMAN	APOBEC4_like PF18774 27-158	ABEC1_MOUSE	DNA modification, RNA modification	DNA demethylation, mRNA editing	APOB_mRNA_editosome	ssDNA, mRNA, mC	U
APOBEC2	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2	ABEC2_HUMAN	APOBEC2 PF18772 47-223	ABEC2_MOUSE	DNA modification, RNA modification	DNA demethylation, mRNA editing	#	ssDNA, mRNA, mC	hmU
APOBEC3A	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A	ABC3A_HUMAN	NAD2 PF18782 13-195	#	DNA modification, RNA modification	DNA demethylation, mRNA editing	#	ssDNA, mRNA, mC	dhU
APOBEC3B	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B	ABC3B_HUMAN	NAD2 PF18782 8-190 193-379	ABEC3_MOUSE	DNA modification, RNA modification	DNA demethylation, mRNA editing	#	ssDNA, mRNA, mC	dhU
APOBEC3C	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C	ABC3C_HUMAN	NAD2 PF18782 11-189	#	DNA modification, RNA modification	DNA demethylation, mRNA editing	#	ssDNA, mRNA, mC	dhU
APOBEC3D	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3D	ABC3D_HUMAN	NAD2 PF18782 10-202 207-381	#	DNA modification, RNA modification	DNA demethylation, mRNA editing	#	ssDNA, mRNA, mC	dhU
APOBEC3F	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F	ABC3F_HUMAN	NAD2 PF18782 4-190 192-372	#	DNA modification, RNA modification	DNA demethylation, mRNA editing	APOB_mRNA_editosome	ssDNA, mRNA, mC	dhU
APOBEC3G	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G	ABC3G_HUMAN	NAD2 PF18782 8-190 200-381	#	DNA modification, RNA modification	DNA demethylation, mRNA editing	APOB_mRNA_editosome	ssDNA, mRNA, mC	dhU
APOBEC3H	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H	ABC3H_HUMAN	APOBEC3 PF18771 25-157	#	DNA modification, RNA modification	DNA demethylation, mRNA editing	APOB_mRNA_editosome	ssDNA, mRNA, mC	dhU
ARID1A	AT rich interactive domain 1A (SWI-like)	ARI1A_HUMAN	ARID PF01388 1018-1104, BAF250_C PF12031 1970-2222	ARI1A_MOUSE	Chromatin remodeling cofactor	#	BAF, nBAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, WINAC, bBAF, SWI/SNF BRM-BRG1	DNA motif	#
ARID1B	AT rich interactive domain 1B (SWI1-like)	ARI1B_HUMAN	ARID PF01388 1137-1223, BAF250_C PF12031 2006-2266	#	Histone modification write	Histone ubiquitination	BAF, nBAF, npBAF, PBAF, SWI/SNF-like_EPAFa, SWI/SNF-like EPAFB, SWI/SNF BRM-BRG1	H2BK120, DNA motif	#
ARID2	AT rich interactive domain 2 (ARID, RFX-like)	ARID2_HUMAN	ARID PF01388 17-101, RFX_DNA_binding PF02257 524-602	#	Chromatin remodeling cofactor	#	PBAF	DNA motif	#
ARID4A	AT rich interactive domain 4A (RBP1-like)	ARI4A_HUMAN	RBB1NT PF08169 171-268, ARID PF01388 311-397, Tudor-knot PF11717 577-631	#	Histone modification write cofactor	Histone acetylation	mSin3A	DNA motif	#
ARID4B	AT rich interactive domain 4B (RBP1-like)	ARI4B_HUMAN	RBB1NT PF08169 169-263, ARID PF01388 308-394, Tudor-knot PF11717 572-626	ARI4B_MOUSE	Histone modification write cofactor	Histone acetylation	mSin3A	DNA motif	#
ARNTL	aryl hydrocarbon receptor nuclear translocator-like	BMAL1_HUMAN	HLH PF00010 74-126, PAS PF00989 149-254, PAS_11 PF14598 339-442	BMAL1_MOUSE	Histone modification write cofactor, TF	TF activator	#	#	#
ARRB1	arrestin, beta 1	ARRB1_HUMAN	Arrestin_N PF00339 19-173, Arrestin_C PF02752 193-355	ARRB1_MOUSE	Histone modification	#	#	#	#
ASF1A	anti-silencing function 1A histone chaperone	ASF1A_HUMAN	ASF1_hist_chap PF04729 1-154	ASF1A_MOUSE	Histone chaperone	#	#	H3, H4	#
ASF1B	anti-silencing function 1B histone chaperone	ASF1B_HUMAN	ASF1_hist_chap PF04729 1-154	ASF1B_MOUSE	Histone chaperone	#	#	H3, H4	#
ASH1L	ash1 (absent, small, or homeotic)-like (Drosophila)	ASH1L_HUMAN	AWS PF17907 2105-2142, SET PF00856 2156-2261, Bromodomain PF00439 2462-2533, PHD_5 PF20826 2586-2628, BAH PF01426 2662-2798	ASH1L_MOUSE	Histone modification write	Histone methylation	#	H3K36	H3K36me
ASH2L	ash2 (absent, small, or homeotic)-like (Drosophila)	ASH2L_HUMAN	PHD_ash2p_like PF21257 105-159, ASH2L-like_WH PF21198 161-266, SPRY PF00622 421-494	ASH2L_MOUSE	Histone modification write cofactor	Histone methylation	COMPASS, Menin-associated_HMT, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7, COMPASS-like MLL3,4	#	#
ASXL1	additional sex combs like transcriptional regulator 1	ASXL1_HUMAN	HARE-HTH PF05066 11-82, ASXH PF13919 244-363, PHD_3 PF13922 1502-1539	ASXL1_MOUSE	Histone modification erase, Polycomb group (PcG) protein	Histone deubiquitination	PR-DUB	H2AK119	H2AK119ub1
ASXL2	additional sex combs like transcriptional regulator 2	ASXL2_HUMAN	HARE-HTH PF05066 11-84, ASXH PF13919 266-381, PHD_3 PF13922 1376-1433	ASXL2_MOUSE	Histone modification read	#	#	H3K4, H3K9	#
ASXL3	additional sex combs like transcriptional regulator 3	ASXL3_HUMAN	HARE-HTH PF05066 11-82, ASXH PF13919 241-361, PHD_3 PF13922 2204-2246	ASXL3_MOUSE	Scaffold protein, Polycomb group (PcG) protein	#	#	#	#
ATAD2	ATPase family, AAA domain containing 2	ATAD2_HUMAN	AAA PF00004 462-597, AAA_lid_3 PF17862 624-660, Bromodomain PF00439 1002-1066	ATAD2_MOUSE	Chromatin remodeling	#	#	#	#
ATAD2B	ATPase family, AAA domain containing 2B	ATD2B_HUMAN	AAA PF00004 437-571, AAA_lid_3 PF17862 598-633, Bromodomain PF00439 975-1041	#	Histone modification read	#	#	H1.4, H2A, H2B, H3 and H4	#
ATF2	activating transcription factor 2	ATF2_HUMAN	bZIP_1 PF00170 354-411	ATF2_MOUSE	Histone modification write, TF	Histone acetylation, TF activator	#	H2B, H4, DNA motif	#
ATF7IP	activating transcription factor 7 interacting protein	MCAF1_HUMAN	ATF7IP_BD PF16788 570-783, fn3_4 PF16794 1160-1259	MCAF1_MOUSE	Histone modification write cofactor	Histone methylation	#	#	#
ATM	ATM serine/threonine kinase	ATM_HUMAN	TAN PF11640 2-128, FAT PF02259 2089-2487, PI3_PI4_kinase PF00454 2713-2963, FATC PF02260 3026-3056	ATM_MOUSE	Histone modification write	Histone phosphorylation	#	H2AXS139	#
ATN1	atrophin 1	ATN1_HUMAN	Atrophin-1 PF03154 1-271 407-1190	ATN1_MOUSE	Histone modification erase cofactor	#	#	#	#
ATR	ATR serine/threonine kinase	ATR_HUMAN	UME PF08064 1125-1221, FAT PF02259 1770-2090, PI3_PI4_kinase PF00454 2322-2567, FATC PF02260 2613-2644	ATR_MOUSE	Histone modification write	Histone phosphorylation	#	H2AX	#
ATRX	alpha thalassemia/mental retardation syndrome X-linked	ATRX_HUMAN	ADD_ATRX PF17981 162-213, SNF2-rel_dom PF00176 1563-1888, Helicase_C PF00271 2022-2155	ATRX_MOUSE	Chromatin remodeling	#	#	H3K9me2, H3K9me3, H3K4	#
ATXN7	ataxin 7	ATX7_HUMAN	SCA7 PF08313 332-395	ATX7_MOUSE	Histone modification write cofactor	Histone acetylation	SAGA	#	#
ATXN7L3	ataxin 7-like 3	AT7L3_HUMAN	Sgf11 PF08209 81-112, SCA7 PF08313 207-237	AT7L3_MOUSE	Histone modification erase cofactor	Histone deubiquitination	SAGA	#	#
AURKA	aurora kinase A	AURKA_HUMAN	Pkinase PF00069 133-383	AURKA_MOUSE	Histone modification write	Histone phosphorylation	#	H3	H3S10ph
AURKB	aurora kinase B	AURKB_HUMAN	Pkinase PF00069 77-327	AURKB_MOUSE	Histone modification write	Histone phosphorylation	#	H3S10, H3S28	#
AURKC	aurora kinase C	AURKC_HUMAN	Pkinase PF00069 43-293	AURKC_MOUSE	Histone modification write	Histone phosphorylation	#	H3S10, H3S28	#
BABAM1	BRISC and BRCA1 A complex member 1	BABA1_HUMAN		BABA1_MOUSE	Histone modification erase cofactor	Histone deubiquitination	BRISC, BRCA1-A	#	#
BAHD1	bromo adjacent homology domain containing 1	BAHD1_HUMAN	BAH PF01426 624-777	BAHD1_MOUSE	Chromatin remodeling	#	#	H3K27me3	#
BANP	BTG3 associated nuclear protein	BANP_HUMAN	BEN PF10523 251-319	BANP_MOUSE	Histone modification write	Histone acetylation	#	H3K9, H4K8	#
BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	BAP1_HUMAN	Peptidase_C12 PF01088 5-214, UCH_C PF18031 643-688	BAP1_MOUSE	Histone modification erase, Polycomb group (PcG) protein	Histone deubiquitination	PR-DUB	H2AK119ub1	H2AK119
BARD1	BRCA1 associated RING domain 1	BARD1_HUMAN	zf-RING_6 PF14835 42-107, Ank_2 PF12796 428-523, BRCT PF00533 569-643	BARD1_MOUSE	Histone modification write	Histone ubiquitination	BRCC, BRCA1-A	H2AX, H2A, H2B, H3, H4	H2AXub, H2Aub, H2Bub, H3ub, H4ub
BAZ1A	bromodomain adjacent to zinc finger domain, 1A	BAZ1A_HUMAN	WAC_Acf1_DNA_bd PF10537 24-123, DDT PF02791 423-486, WHIM1 PF15612 592-633, WSD PF15613 802-926, PHD PF00628 1151-1195, Bromodomain PF00439 1439-1517	BAZ1A_MOUSE	Histone chaperone	#	ACF, CHRAC	#	#
BAZ1B	bromodomain adjacent to zinc finger domain, 1B	BAZ1B_HUMAN	WAC_Acf1_DNA_bd PF10537 22-121, WHIM1 PF15612 726-762, WSD PF15613 899-1026, PHD PF00628 1187-1231, Bromodomain PF00439 1348-1427	BAZ1B_MOUSE	Histone modification write	Histone phosphorylation	B-WICH, WINAC	H2AXT142, H3	H2AXY142ph
BAZ2A	bromodomain adjacent to zinc finger domain, 2A	BAZ2A_HUMAN	MBD PF01429 550-619, DDT PF02791 850-911, WHIM1 PF15612 951-993, WSD PF15613 1111-1788, PHD PF00628 1679-1723, Bromodomain PF00439 1803-1882	BAZ2A_MOUSE	Chromatin remodeling, Histone modification erase	Histone deacetylation	NoRC	H4K16ac, DNA motif	H4K5, H4K8, H4K12
BAZ2B	bromodomain adjacent to zinc finger domain, 2B	BAZ2B_HUMAN	MBD PF01429 743-811, DDT PF02791 1088-1150, domain PF15612 1193-1227, WSD PF15613 1374-1410, PHD PF00628 1934-1978, Bromodomain PF00439 2069-2151	#	Histone modification read	#	#	H1.4ac, H2Aac, H2Bac, H3ac, H4Kac	#
BCOR	BCL6 corepressor	BCOR_HUMAN	BCOR PF15808 1183-1395, Ank_2 PF12796 1467-1559, PUFD PF16553 1634-1745	BCOR_MOUSE	Polycomb group (PcG) protein	#	BCOR	#	#
BCORL1	BCL6 corepressor-like 1	BCORL_HUMAN	Ank_2 PF12796 1500-1591, PUFD PF16553 1668-1782	BCORL_MOUSE	Histone modification erase cofactor	Histone deacetylation	BCOR	H3K36me2	#
BMI1	BMI1 proto-oncogene, polycomb ring finger	BMI1_HUMAN	zf-C3HC4_2 PF13923 18-56, RAWUL PF16207 162-226	BMI1_MOUSE	Polycomb group (PcG) protein	#	PRC1	#	#
BPTF	bromodomain PHD finger transcription factor	BPTF_HUMAN	DDT PF02791 241-299, PHD PF00628 393-434 2870-2915, WSD PF15613 457-524, Bromodomain PF00439 2939-3018	#	Chromatin remodeling	#	NuRF	#	#
BRCA1	breast cancer 1, early onset	BRCA1_HUMAN	zf-C3HC4 PF00097 24-64, BRCT_assoc PF12820 361-492, BRCT PF00533 1649-1724 1758-1845	BRCA1_MOUSE	Histone modification write cofactor, TF	Histone acetylation, Histone methylation, Histone ubiquitination, TF activator, TF repressor	BRCC, BRCA1-A	DNA motif	#
BRCA2	breast cancer 2, early onset	BRCA2_HUMAN	BRCA2 PF00634 1002-1036 1216-1244 1424-1452 1521-1548 1665-1847 1842-1867 1974-2003 2054-2083, BRCA-2_helical PF09169 2476-2667, BRCA-2_OB1 PF09103 2669-2798, BRCA2DBD_OB2 PF21318 2804-2863 2969-3034, Tower PF09121 2831-2868, BRCA-2_OB3 PF09104 3053-3189, domain PF22687 3270-3382	BRCA2_MOUSE	Histone modification write	Histone acetylation	BRCC	H3, H4, ssDNA	#
BRCC3	BRCA1/BRCA2-containing complex, subunit 3	BRCC3_HUMAN	JAB PF01398 8-147, BRCC36_C PF18110 226-308	BRCC3_MOUSE	Histone modification erase	Histone deubiquitination	BRISC, BRCA1-A	H2AK63, H2AXK63	H2A, H2AX
BRD1	bromodomain containing 1	BRD1_HUMAN	EPL1 PF10513 47-195, PHD_2 PF13831 229-261, zf-HC5HC2H_2 PF13832 270-389, Bromodomain PF00439 572-653, PWWP PF00855 929-1039	#	Histone modification read	#	MOZ/MORF	H3K36me3, H3	#
BRD2	bromodomain containing 2	BRD2_HUMAN	Bromodomain PF00439 85-167 354-440, BET PF17035 640-704	BRD2_MOUSE	Histone modification read	#	#	H3K9me2, H3K14me2, H4K5ac, H4K12ac, H3K27ac	#
BRD3	bromodomain containing 3	BRD3_HUMAN	Bromodomain PF00439 46-127 315-402, BET PF17035 571-634	BRD3_MOUSE	Histone modification read	#	#	H3K9me2, H3K14me2, H4K5ac, H4K12ac	#
BRD4	bromodomain containing 4	BRD4_HUMAN	Bromodomain PF00439 70-151 358-444, BET PF17035 610-672, BRD4_CDT PF17105 1324-1362	BRD4_MOUSE	Histone modification read	#	#	H3K9, H3K14, H4K5, H4K12	#
BRD7	bromodomain containing 7	BRD7_HUMAN	Bromodomain PF00439 142-223, DUF3512 PF12024 298-483	BRD7_MOUSE	Histone modification read	#	SWI/SNF BRM-BRG1	H3K9ac, H3K14ac, H3K8ac	#
BRD8	bromodomain containing 8	BRD8_HUMAN	Bromodomain PF00439 723-797 1115-1193	BRD8_MOUSE	Histone modification read	#	SWR, NuA4, NuA4-related complex	#	#
BRD9	bromodomain containing 9	BRD9_HUMAN	Bromodomain PF00439 146-227, DUF3512 PF12024 288-462	BRD9_MOUSE	Histone modification read	#	SWI/SNF BRM-BRG1	H3	#
BRDT	bromodomain, testis-specific	BRDT_HUMAN	Bromodomain PF00439 39-120 277-363, BET PF17035 509-572, BRD4_CDT PF17105 901-947	BRDT_MOUSE	Histone modification read	#	#	H4K5ac, H4K8ac	#
BRE	brain and reproductive organ-expressed (TNFRSF1A modulator)	BRE_HUMAN	BRE PF06113 9-334	BRE_MOUSE	Histone modification write cofactor	Histone ubiquitination	BRISC, BRCC, BRCA1-A	#	#
BRMS1	breast cancer metastasis suppressor 1	BRMS1_HUMAN	Sds3 PF08598 60-183	BRMS1_MOUSE	Chromatin remodeling	#	mSin3A	#	#
BRMS1L	breast cancer metastasis-suppressor 1-like	BRM1L_HUMAN	Sds3 PF08598 62-184	BRM1L_MOUSE	Histone modification erase	Histone deacetylation	mSin3A	#	#
BRPF1	bromodomain and PHD finger containing, 1	BRPF1_HUMAN	EPL1 PF10513 105-255, PHD_2 PF13831 288-320, zf-HC5HC2H_2 PF13832 329-448, Bromodomain PF00439 639-718, PWWP PF00855 1085-1196	#	Histone modification read	#	MOZ/MORF	H3K36me3	#
BRPF3	bromodomain and PHD finger containing, 3	BRPF3_HUMAN	EPL1 PF10513 48-194, PHD_2 PF13831 227-259, zf-HC5HC2H_2 PF13832 268-386, Bromodomain PF00439 599-680, PWWP PF00855 1076-1187	#	Histone modification write cofactor	Histone acetylation	MOZ/MORF	#	#
BRWD1	bromodomain and WD repeat domain containing 1	BRWD1_HUMAN	WD40 PF00400 182-214 217-255 262-302 360-396 457-497, Bromodomain PF00439 1166-1251 1325-1402	BRWD1_MOUSE	Histone modification read	#	#	H3	#
BRWD3	bromodomain and WD repeat domain containing 3	BRWD3_HUMAN	WD40 PF00400 176-208 211-249 256-296 318-345 355-392 455-494 511-536, Bromodomain PF00439 1153-1231 1355-1414	BRWD3_MOUSE	Histone modification read	#	#	H3	#
BUB1	BUB1 mitotic checkpoint serine/threonine kinase	BUB1_HUMAN	Mad3_BUB1_I PF08311 8-125, Pkinase PF00069 789-1007	BUB1_MOUSE	Histone modification write	Histone phosphorylation	#	H2AS121	H2AS121ph
C11orf30	chromosome 11 open reading frame 30	EMSY_HUMAN	ENT PF03735 16-84	EMSY_MOUSE	Histone modification write cofactor	Histone methylation	#	#	#
C14orf169	#	NO66_HUMAN	JmjC_2 PF08007 298-427, RIOX1_C_WH PF21233 511-637	NO66_MOUSE	Histone modification erase	Histone methylation	#	H3K4me3, H3K4me1, H3K36me2	H3K4me2, H3K4, H3K36me1
C17orf49	chromosome 17 open reading frame 49	BAP18_HUMAN		BAP18_MOUSE	Histone modification read	#	CHD8, MLL2/3, MLL4/WBP7	H3K4me3	#
CARM1	coactivator-associated arginine methyltransferase 1	CARM1_HUMAN	CARM1 PF11531 27-139, PrmA PF06325 184-257, domain PF22528 291-453	CARM1_MOUSE	Histone modification write	Histone methylation	#	H3R17	H3R17me, H3R17me2a
CBLL1	E3 ubiquitin-protein ligase Hakai (EC 2.3.2.27) (Casitas B-lineage lymphoma-transforming sequence-like protein 1) (c-Cbl-like protein 1) (RING finger protein 188) (RING-type E3 ubiquitin transferase Hakai)	HAKAI_HUMAN	zf_Hakai PF18408 161-191	HAKAI_MOUSE	RNA modification	RNA methylation	WMM	A of mRNA	m6A
CBX1	chromobox homolog 1	CBX1_HUMAN	Chromo PF00385 21-69, Chromo_shadow PF01393 118-170	CBX1_MOUSE	Histone modification read	#	#	H3K9me3, H3K27me3	#
CBX2	chromobox homolog 2	CBX2_HUMAN	Chromo PF00385 12-60, CBX7_C PF17218 492-523	CBX2_MOUSE	Histone modification read	#	PRC1	H3K9me3, H3K27me3	#
CBX3	chromobox homolog 3	CBX3_HUMAN	Chromo PF00385 30-78, Chromo_shadow PF01393 123-174	CBX3_MOUSE	Histone modification read	#	RING2-L3MBTL2, L3MBTL1	H3K9me3	#
CBX4	chromobox homolog 4	CBX4_HUMAN	Chromo PF00385 11-60, CBX7_C PF17218 533-559	CBX4_MOUSE	Histone modification read	#	PRC1	H3K9me3	#
CBX5	chromobox homolog 5	CBX5_HUMAN	Chromo PF00385 20-69, Chromo_shadow PF01393 123-174	CBX5_MOUSE	Histone modification read	#	#	H3K9me, H3K27me3	#
CBX6	chromobox homolog 6	CBX6_HUMAN	Chromo PF00385 11-60, CBX7_C PF17218 358-386	CBX6_MOUSE	Histone modification read	#	PRC1	H3K9me3, H3K27me3	#
CBX7	chromobox homolog 7	CBX7_HUMAN	Chromo PF00385 11-60, CBX7_C PF17218 212-239	CBX7_MOUSE	Histone modification read	#	PRC1	H3K9me3, H3K27me3	#
CBX8	chromobox homolog 8	CBX8_HUMAN	Chromo PF00385 11-60, CBX7_C PF17218 348-381	CBX8_MOUSE	Histone modification read	#	PRC1	H3K9me3, H3K27me3	#
CCDC101	coiled-coil domain containing 101	SGF29_HUMAN	SGF29_Tudor PF07039 159-288	SGF29_MOUSE	Histone modification read	#	ATAC	H3K4me, H3K4me3	#
CDC6	cell division cycle 6	CDC6_HUMAN	domain PF13191 173-315, domain PF22606 346-403, Cdc6_C PF09079 455-542	CDC6_MOUSE	Chromatin remodeling	#	#	#	#
CDC73	cell division cycle 73	CDC73_HUMAN	CDC73_N PF16050 1-296, CDC73_C PF05179 358-520	CDC73_MOUSE	Histone modification write cofactor	Histone methylation	#	#	#
CDK1	cyclin-dependent kinase 1	CDK1_HUMAN	Pkinase PF00069 4-287	CDK1_MOUSE	Histone modification write	Histone phosphorylation	#	H1	H1ph
CDK17	cyclin-dependent kinase 17	CDK17_HUMAN	Pkinase PF00069 192-473	CDK17_MOUSE	Histone modification write	Histone phosphorylation	#	H1	#
CDK2	cyclin-dependent kinase 2	CDK2_HUMAN	Pkinase PF00069 4-286	CDK2_MOUSE	Histone modification write	Histone phosphorylation	#	H1S, H1T	H1Sph, H1Tph
CDK3	cyclin-dependent kinase 3	CDK3_HUMAN	Pkinase PF00069 4-286	CDK3_MOUSE	Histone modification write	Histone phosphorylation	#	H1	#
CDK5	cyclin-dependent kinase 5	CDK5_HUMAN	Pkinase PF00069 4-286	CDK5_MOUSE	Histone modification write	Histone phosphorylation	#	H1	#
CDK7	cyclin-dependent kinase 7	CDK7_HUMAN	Pkinase PF00069 12-295	CDK7_MOUSE	Histone modification write	Histone phosphorylation	#	H1	#
CDK9	cyclin-dependent kinase 9	CDK9_HUMAN	Pkinase PF00069 19-315	CDK9_MOUSE	Histone modification cofactor	#	#	#	#
CDY1	chromodomain protein, Y-linked, 1	CDY1_HUMAN	Chromo PF00385 6-57, ECH_1 PF00378 303-535	#	Histone modification write	Histone acetylation	#	H4	#
CDY1B	chromodomain protein, Y-linked, 1B	CDY1_HUMAN	Chromo PF00385 6-57, ECH_1 PF00378 303-535	#	Histone modification write	Histone acetylation	#	H4	#
CDY2A	chromodomain protein, Y-linked, 2A	CDY2_HUMAN	Chromo PF00385 6-57, ECH_1 PF00378 304-537	#	Histone modification write	Histone acetylation	#	#	#
CDY2B	chromodomain protein, Y-linked, 2B	CDY2_HUMAN	Chromo PF00385 6-57, ECH_1 PF00378 304-537	#	Histone modification write	Histone acetylation	#	#	#
CDYL	chromodomain protein, Y-like	CDYL1_HUMAN	Chromo PF00385 61-112, ECH_1 PF00378 363-594	CDYL_MOUSE	Histone modification write	Histone acetylation	#	H4	#
CDYL2	chromodomain protein, Y-like 2	CDYL2_HUMAN	Chromo PF00385 7-57, ECH_1 PF00378 271-500	CDYL2_MOUSE	Histone modification read	#	#	H3K9me3	#
